Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_5,2.93 ± 0.16,2.95 ± 0.15,2.96 ± 0.15,2.95 ± 0.14
scen_6,2.94 ± 0.19,2.94 ± 0.17,2.97 ± 0.16,2.97 ± 0.16
scen_7,2.98 ± 0.25,2.94 ± 0.17,2.96 ± 0.23,2.97 ± 0.14
scen_8,2.95 ± 0.17,2.98 ± 0.15,2.99 ± 0.12,2.97 ± 0.13
scen_9,2.94 ± 0.15,2.93 ± 0.19,2.99 ± 0.19,2.97 ± 0.13
scen_10,2.93 ± 0.16,2.91 ± 0.16,2.94 ± 0.14,2.95 ± 0.14
scen_11,2.94 ± 0.16,2.97 ± 0.13,2.97 ± 0.14,2.97 ± 0.14
scen_12,2.98 ± 0.14,2.94 ± 0.17,2.92 ± 0.17,2.97 ± 0.13
