Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_5,44.889 ± 0.095,45.042 ± 0.065,45.042 ± 0.081,44.943 ± 0.098
scen_6,44.904 ± 0.113,45.077 ± 0.090,45.079 ± 0.097,44.978 ± 0.113
scen_7,44.885 ± 0.105,45.284 ± 0.093,45.172 ± 0.114,45.176 ± 0.143
scen_8,44.877 ± 0.101,45.492 ± 0.123,45.493 ± 0.122,45.442 ± 0.114
scen_9,44.888 ± 0.097,45.038 ± 0.080,45.026 ± 0.083,44.963 ± 0.098
scen_10,44.877 ± 0.114,45.071 ± 0.077,45.079 ± 0.070,45.003 ± 0.109
scen_11,44.879 ± 0.086,45.253 ± 0.075,45.266 ± 0.074,45.179 ± 0.107
scen_12,44.996 ± 0.097,45.448 ± 0.099,45.474 ± 0.092,45.396 ± 0.106
