Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_5,128.089 ± 4.564,128.542 ± 4.726,128.571 ± 4.737,128.116 ± 5.032
scen_6,128.117 ± 4.599,128.558 ± 4.791,128.556 ± 4.822,128.132 ± 5.111
scen_7,128.113 ± 4.683,128.631 ± 5.383,128.340 ± 5.312,128.221 ± 5.524
scen_8,128.123 ± 4.706,128.709 ± 5.846,128.682 ± 5.724,128.352 ± 6.001
scen_9,128.119 ± 4.660,128.549 ± 4.812,128.535 ± 4.678,128.117 ± 4.979
scen_10,128.105 ± 4.637,128.523 ± 4.805,128.591 ± 4.885,128.084 ± 5.090
scen_11,128.049 ± 4.632,128.578 ± 5.317,128.655 ± 5.273,128.171 ± 5.504
scen_12,128.426 ± 4.562,128.625 ± 5.781,128.693 ± 5.822,128.219 ± 5.984
