Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_5,111.462 ± 4.328,111.738 ± 4.299,111.789 ± 4.282,111.475 ± 4.333
scen_6,111.485 ± 4.326,111.739 ± 4.308,111.773 ± 4.235,111.480 ± 4.338
scen_7,111.500 ± 4.330,111.733 ± 4.310,111.479 ± 4.302,111.480 ± 4.336
scen_8,111.504 ± 4.331,111.743 ± 4.331,111.750 ± 4.232,111.525 ± 4.357
scen_9,111.455 ± 4.316,111.714 ± 4.314,111.718 ± 4.204,111.430 ± 4.326
scen_10,111.452 ± 4.315,111.687 ± 4.318,111.763 ± 4.305,111.398 ± 4.333
scen_11,111.424 ± 4.319,111.657 ± 4.318,111.768 ± 4.330,111.398 ± 4.325
scen_12,111.722 ± 4.216,111.646 ± 4.317,111.731 ± 4.319,111.396 ± 4.330
