Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_5,3.872 ± 0.033,3.895 ± 0.046,3.892 ± 0.046,3.892 ± 0.048
scen_6,3.877 ± 0.034,3.923 ± 0.052,3.926 ± 0.058,3.906 ± 0.064
scen_7,3.872 ± 0.031,4.048 ± 0.106,4.055 ± 0.105,3.995 ± 0.138
scen_8,3.872 ± 0.028,4.185 ± 0.173,4.153 ± 0.193,4.057 ± 0.225
scen_9,3.870 ± 0.030,3.892 ± 0.040,3.890 ± 0.047,3.888 ± 0.048
scen_10,3.870 ± 0.028,3.915 ± 0.050,3.916 ± 0.050,3.908 ± 0.067
scen_11,3.872 ± 0.029,4.047 ± 0.098,4.051 ± 0.092,3.999 ± 0.139
scen_12,3.870 ± 0.029,4.160 ± 0.180,4.166 ± 0.183,4.087 ± 0.220
