Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_5,374.846 ± 19.940,379.464 ± 19.371,380.025 ± 19.571,377.995 ± 18.486
scen_6,377.202 ± 24.383,377.458 ± 21.568,381.387 ± 20.724,380.166 ± 20.180
scen_7,381.339 ± 31.252,378.489 ± 21.249,380.145 ± 29.290,381.294 ± 18.102
scen_8,377.517 ± 22.187,383.685 ± 19.795,385.331 ± 15.778,381.723 ± 16.561
scen_9,376.452 ± 18.628,376.819 ± 23.760,383.901 ± 24.248,380.107 ± 17.132
scen_10,375.985 ± 20.131,374.169 ± 21.123,378.000 ± 18.120,377.254 ± 18.245
scen_11,376.244 ± 20.225,381.780 ± 17.111,382.101 ± 17.355,380.337 ± 17.495
scen_12,382.845 ± 17.391,378.055 ± 22.036,376.211 ± 21.426,380.224 ± 17.279
